Type,Tipo
Amount exceeds profile cash movement max amount.,El monto excede el monto máximo de movimiento de efectivo del perfil.
Amount received from customer,Monto recibido del cliente
Apply,Aplicar
Apps,Aplicaciones
Are you sure you want to close? All entered data will be lost.,¿Está seguro de que desea cerrar? Todos los datos ingresados se perderán.
Attributes (Size/Color),Atributos (Tamaño/Color)
Available:,Disponible:
Average Basket,Promedio de Carrito
Average Bill,Factura Promedio
Average Ticket,Ticket Promedio
Avg Bill,Promedio Factura
Avg Invoice,Factura Promedio
Avg Invoice Profit,Ganancia Promedio por Factura
Avg Invoice Value,Valor Promedio de Factura
Avg Purchase Frequency,Frecuencia de Compra Promedio
Awesome,Increíble
Awesome Dashboard,Panel Awesome
Awesome Dashboard is disabled in POS Settings.,El Panel Awesome está deshabilitado en la configuración de POS.
Awesome Dashboard is disabled in global settings or for the selected scope.,El Panel Awesome está deshabilitado en configuración global o para el alcance seleccionado.
Back Office Cash Account,Cuenta de Efectivo de Oficina
Back Office Cash Account (Optional Override),Cuenta de Efectivo de Oficina (Anulación Opcional)
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,La cuenta de efectivo de oficina está fijada por el perfil POS y no puede ser anulada.
Back Office Cash Account is required for cash deposit.,Se requiere cuenta de efectivo de oficina para depósito en efectivo.
Back office cash account is required.,Se requiere cuenta de efectivo de oficina.
Background Submission Failed,Envío en Segundo Plano Fallido
Background sync interval (seconds),Intervalo de sincronización en segundo plano (segundos)
Balances still pending,Saldos todavía pendientes
Barcode Label Printing,Impresión de Etiquetas de Código de Barras
Barcode {0} already exists.,El código de barras {0} ya existe.
Basic Information,Información Básica
Batch Information,Información de Lote
Before any return workflow,Antes de cualquier flujo de devolución
Before returns,Antes de devoluciones
Best Day,Mejor Día
Best Seller,Mejor Vendedor
Book expense or deposit from active shift.,Registrar gasto o depósito del turno activo.
Branch / Location-wise Report,Informe por Sucursal/Ubicación
Branches,Sucursales
Brand-wise,Por Marca
Breakdown,Desglose
Build Time:,Tiempo de Construcción:
Built with Frappe,Construido con Frappe
Bundle,Paquete
COGS,COGS
CPU Cores:,Núcleos de CPU:
CPU Load,Carga de CPU
Cache Usage,Uso de Caché
Cache cleared successfully,Caché limpiada exitosamente
Camera Access Required,Acceso a Cámara Requerido
Camera access was aborted. Please try again.,El acceso a la cámara fue abortado. Por favor intente de nuevo.
Cancel Payment,Cancelar Pago
Cancel Sale,Cancelar Venta
Cancelled,Cancelado
Cancelling submitted cash movements is disabled for this POS Profile.,Cancelar movimientos de efectivo enviados está deshabilitado para este perfil POS.
Cannot Save Offline Invoice: ,No se puede guardar factura offline:
Cannot Save Offline Payment: ,No se puede guardar pago offline:
Cannot clear cache while offline,No se puede limpiar caché mientras está offline
Cannot redeem customer credit more than invoice total,No se puede canjear crédito del cliente más que el total de la factura
Cards,Tarjetas
Cash Deposit is disabled for this POS Profile.,El depósito en efectivo está deshabilitado para este perfil POS.
Cash Drawer Snapshot,Instantánea de Cajón de Efectivo
Cash In Hand,Efectivo en Mano
Cash Movement is disabled for this POS Profile.,El movimiento de efectivo está deshabilitado para este perfil POS.
Cash Movement is disabled in current POS Profile.,El movimiento de efectivo está deshabilitado en el perfil POS actual.
Cash Movements,Movimientos de Efectivo
Cash back to customers,Efectivo de vuelta a clientes
Cash movement cancelled,Movimiento de efectivo cancelado
Cash movement deduction applied,Descuento de movimiento de efectivo aplicado
Cash movement deleted,Movimiento de efectivo eliminado
Cash movement is disabled for this POS Profile.,El movimiento de efectivo está deshabilitado para este perfil POS.
Cash movement saved offline,Movimiento de efectivo guardado offline
Cash movement submitted,Movimiento de efectivo enviado
Cashiers,Cajeros
Category / Brand / Variant Report,Informe por Categoría/Marca/Variante
Category-wise,Por Categoría
Category-wise Margin,Margen por Categoría
Certificate is missing or not trusted. QZ may show confirmation dialogs.,El certificado falta o no es de confianza. QZ puede mostrar diálogos de confirmación.
Certificate is trusted. Silent QZ printing is active.,El certificado es de confianza. La impresión silenciosa de QZ está activa.
Change Price,Cambiar Precio
Change Return,Cambiar Devolución
Change Returned,Cambio Devuelto
Charge Heads,Cabeceras de Cargo
Charges not found,Cargos no encontrados
Check for new commits,Verificar nuevos commits
City,Ciudad
Clear,Limpiar
Clear Search,Limpiar Búsqueda
Clearing local cache...,Limpiando caché local...
Click to refresh,Haz clic para actualizar
Client CPU Lag:,Retraso de CPU del Cliente:
Client Memory Usage:,Uso de Memoria del Cliente:
Client Metrics,Métricas del Cliente
Close Scanner,Cerrar Escáner
Closing Snapshot Available,Instantánea de Cierre Disponible
Code,Código
Code scanned successfully,Código escaneado exitosamente
Cols,Columnas
Columns,Columnas
Company,Empresa
Company is required.,Se requiere empresa.
Company must match the selected POS Opening Shift company.,La empresa debe coincidir con la empresa del turno de apertura POS seleccionado.
Company must match the selected POS Profile company.,La empresa debe coincidir con la empresa del perfil POS seleccionado.
Completed returns will appear here.,Las devoluciones completadas aparecerán aquí.
Confirm Close,Confirmar Cierre
Confirm Mobile Number,Confirmar Número de Móvil
Connect printer and manage certificate,Conectar impresora y gestionar certificado
Connecting to QZ Tray...,Conectando a QZ Tray...
Context is required,Se requiere contexto
Continue Editing,Continuar Editando
Cost Center is not set in pos profile {},Centro de costos no establecido en perfil POS {}
Could not fetch latest balance from server,No se pudo obtener el último saldo del servidor
Count,Conteo
Country,País
Coupon,Cupón
Coupons,Cupones
Cover,Cubrir
Create Customer,Crear Cliente
Create items,Crear artículos
Create suppliers,Crear proveedores
Credit Note {0} has no remaining balance to allocate.,La nota de crédito {0} no tiene saldo restante para asignar.
Credit Outstanding,Crédito Pendiente
Credit and Output,Crédito y Salida
Credit note {0} is already fully allocated,La nota de crédito {0} ya está totalmente asignada
Credit note {0} still has an unapplied balance of {1},La nota de crédito {0} todavía tiene un saldo sin aplicar de {1}
Credit sales remaining to be collected,Ventas a crédito pendientes de cobrar
Critical,Crítico
Custom Due Days,Días de Vencimiento Personalizados
Custom items per page,Artículos personalizados por página
Customer Balance,Saldo del Cliente
Customer Name is required,Se requiere nombre del cliente
Customer Screen,Pantalla del Cliente
Customer already selected,Cliente ya seleccionado
Customer balance unavailable offline,Saldo del cliente no disponible offline
Customer created successfully.,Cliente creado exitosamente.
Customer creation failed.,Falló la creación del cliente.
Customer display channel is missing,Falta el canal de visualización del cliente
Customer group is required,Se requiere grupo de clientes
Customer is required to add payment,Se requiere cliente para agregar pago
Customer not selected,Cliente no seleccionado
Customer saved offline,Cliente guardado offline
Customer territory is required,Se requiere territorio del cliente
Customer updated successfully.,Cliente actualizado exitosamente.
Customers not found,Clientes no encontrados
Daily Sales Summary,Resumen de Ventas Diarias
Database Health,Salud de la Base de Datos
Database Info,Info de Base de Datos
Database health affects overall system speed and reliability.,El estado de la base de datos afecta la velocidad y confiabilidad general del sistema.
Date,Fecha
Day Δ,Día Δ
Day-wise (MTD),Diario (MTD)
Day-wise Movement,Movimiento Diario
Dead Stock,Stock Muerto
Dead Stock Items,Artículos de Stock Muerto
Default Rate is required,Se requiere tasa predeterminada
Delete Invoice,Eliminar Factura
Deleting cancelled cash movements is disabled for this POS Profile.,Eliminar movimientos de efectivo cancelados está deshabilitado para este perfil POS.
Delivery Charges,Cargos de Entrega
Delivery Information,Información de Entrega
Description,Descripción
Detailed Supplier Breakdown,Desglose Detallado de Proveedor
Difference (In Company Currency),Diferencia (En Moneda de la Empresa)
Discount %,Descuento %
Discount / Void / Return Report,Informe de Descuento/Anulación/Devolución
Discount limited by POS Profile,Descuento limitado por perfil POS
Discounted Invoices,Facturas con Descuento
Draft,Borrador
Enable Customer Display in POS Profile first.,Habilitar pantalla del cliente en perfil POS primero.
Enter a valid grams value,Ingrese un valor válido en gramos
Enter new price list rate,Ingrese nueva tasa de lista de precios
Enter valid grams for scale barcode,Ingrese gramos válidos para código de barras de balanza
Entries,Entradas
Error Loading Data,Error al Cargar Datos
Error calculating prices,Error al calcular precios
Error fetching customer balance,Error al obtener saldo del cliente
Error processing payment,Error al procesar pago
Error searching invoices,Error al buscar facturas
Error submitting invoice: ,Error al enviar la factura: 
Error updating item details,Error al actualizar detalles del artículo
Est. Purchase,Compra Est.
Est. Value,Valor Est.
Event-loop lag measures how busy your browser is. Lower is better.,El retraso del bucle de eventos mide qué tan ocupado está tu navegador. Menos es mejor.
Expected Amount (In Company Currency),Monto Esperado (En Moneda de la Empresa)
Expected Cash,Efectivo Esperado
Expected cash on hand grouped by currency,Efectivo esperado en mano agrupado por moneda
Expense Account (Optional Override),Cuenta de Gastos (Anulación Opcional)
Expense Account is required for expense entries.,Se requiere cuenta de gastos para entradas de gastos.
Expense account is required for POS Expense.,Se requiere cuenta de gastos para gasto POS.
Expense account is required.,Se requiere cuenta de gastos.
Expense target account must match Expense Account.,La cuenta de gastos objetivo debe coincidir con la cuenta de gastos.
Expenses and deposits posted during this shift,Gastos y depósitos registrados durante este turno
Failed to auto reconcile payments.,Falló la conciliación automática de pagos.
Failed to clear cache,Falló al limpiar caché
Failed to generate scale barcode. Using item barcode only.,Falló al generar código de barras de balanza. Usando solo código de barras del artículo.
Failed to load cash movement context.,Falló al cargar contexto de movimiento de efectivo.
Failed to load dashboard data.,Falló al cargar datos del panel.
Failed to reconcile Credit Note {0}: {1},Falló al reconciliar nota de crédito {0}: {1}
Failed to reconcile Journal Entry {0}: {1},Falló al reconciliar asiento {0}: {1}
Failed to reconcile Payment Entry {0}: {1},Falló al reconciliar entrada de pago {0}: {1}
Failed to reload invoice from server,Falló al recargar factura del servidor
Failed to sync offline cash movements,Falló al sincronizar movimientos de efectivo offline
Flash Off,Flash Apagado
Flash On,Flash Encendido
Fulfillment Details,Detalles de Cumplimiento
Full Name,Nombre Completo
Get Payments,Obtener Pagos
Grand Total,Total General
Group not found,Grupo no encontrado
Grouped totals for each payment method and currency,Totales agrupados para cada método de pago y moneda
Hide Non Essential Fields,Ocultar Campos No Esenciales
Hide quantity decimals,Ocultar decimales de cantidad
Hide zero rated items,Ocultar artículos con tasa cero
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importe el certificado a QZ Tray y reinicie QZ Tray en cada máquina POS.
Include Batch / Serial,Incluir Lote / Serial
Include Price,Incluir Precio
IndexedDB,IndexedDB
Initialize your shift with opening balances,Inicie su turno con saldos de apertura
Initializing application...,Inicializando aplicación...
Installed Applications,Aplicaciones Instaladas
Invalid Opening Entry,Entrada de Apertura Inválida
Invalid POS Opening Shift data provided.,Datos de turno de apertura POS inválidos proporcionados.
Invalid Period,Período Inválido
Invalid movement type for journal entry.,Tipo de movimiento inválido para asiento.
Invalid movement type.,Tipo de movimiento inválido.
Invalid posting date.,Fecha de publicación inválida.
Invalid rate,Tarifa inválida
Invalid {0} filter,Filtro {0} inválido
Inventory Status Report,Informe de Estado de Inventario
Invoice Change,Cambio de Factura
Invoice Mgmt,Gestión de Facturas
Invoice is still in draft after background submission.,La factura todavía está en borrador después del envío en segundo plano.
Invoice saved offline,Factura guardada offline
Invoice submission failed,Envío de factura fallido
Invoice {0} Deleted,Factura {0} Eliminada
Invoices,Facturas
Item / Product Sales Report,Informe de Ventas de Artículo/Producto
Item Code,Código de Artículo
Item Code and Price List are required,Se requieren código de artículo y lista de precios
Item Price has been added or updated,El precio del artículo ha sido agregado o actualizado
Item Selector Settings,Configuración del Selector de Artículos
Item is out of stock,El artículo está agotado
Item not found,Artículo no encontrado
Item order updated,Orden del artículo actualizada
Item-wise Profitability,Rentabilidad por Artículo
Items,Artículos
Items added in POS will appear here automatically.,Los artículos agregados en POS aparecerán aquí automáticamente.
Items added to invoice,Artículos agregados a la factura
Items per page,Artículos por página
Items/Invoice,Artículos/Factura
Journal Entry {0} has no unallocated amount remaining.,El asiento {0} no tiene monto sin asignar restante.
Last 14 Days (Paid vs Pending),Últimos 14 Días (Pagado vs Pendiente)
Last 14 Days Activity,Actividad de Últimos 14 Días
Last 14 Days Gross Profit,Ganancia Bruta de Últimos 14 Días
Last 14 Days Purchases,Compras de Últimos 14 Días
Last 14 Days Tax/Charges,Impuestos/Cargos de Últimos 14 Días
Lead Time,Tiempo de Entrega
List,Lista
Load Drafts,Cargar Borradores
Load More Invoices,Cargar Más Facturas
Load Sales Invoice,Cargar Factura de Venta
Load previously saved invoices,Cargar facturas guardadas anteriormente
Loading customer database...,Cargando base de datos de clientes...
Loading product catalog...,Cargando catálogo de productos...
Low Stock Threshold,Umbral de Stock Bajo
Low Stock Total,Total de Stock Bajo
Lowest Margin,Margen Más Bajo
Manage and synchronize your offline transactions,Gestione y sincronice sus transacciones offline
Mobile No,Móvil No
Mode,Modo
Mode of Payment,Modo de Pago
Mode of Payments,Modos de Pago
Month Δ,Mes Δ
Month-wise,Mensual
Monthly Sales Summary,Resumen de Ventas Mensuales
Most Active Cashiers,Cajeros Más Activos
Name,Nombre
Negative Stock Items,Artículos con Stock Negativo
Negative values not allowed,Valores negativos no permitidos
Net Total,Total Neto
No allocation made for credit note {0},No se hizo asignación para nota de crédito {0}
No allocation made for payment {0},No se hizo asignación para pago {0}
No allocation was recorded for Credit Note {0}.,No se registró asignación para nota de crédito {0}.
No allocation was recorded for Journal Entry {0}.,No se registró asignación para asiento {0}.
No allocation was recorded for Payment Entry {0}.,No se registró asignación para entrada de pago {0}.
No allocations were made.,No se hicieron asignaciones.
No batches available in {0} for {1}.,No hay lotes disponibles en {0} para {1}.
No branch/location data found.,No se encontraron datos de sucursal/ubicación.
No brand data found.,No se encontraron datos de marca.
No cash movement type is allowed for this POS Profile.,No se permite ningún tipo de movimiento de efectivo para este perfil de POS.
No cashier-wise discount/void/return activity.,No hay actividad de descuento/anulación/devolución por cajero.
No category data found.,No se encontraron datos de categoría.
No category profitability data found.,No se encontraron datos de rentabilidad por categoría.
No change returned recorded for this shift.,No hay cambio devuelto registrado para este turno.
No charge head breakdown found.,No se encontró desglose por concepto de cargo.
No customer sales data found.,No se encontraron datos de ventas por cliente.
No day-wise discount/void/return trend.,No hay tendencia de descuento/anulación/devolución por día.
No day-wise payment data found.,No se encontraron datos de pago por día.
No day-wise profitability trend found.,No se encontró tendencia de rentabilidad por día.
No day-wise purchase data found.,No se encontraron datos de compras por día.
No day-wise sales trend found.,No se encontró tendencia de ventas por día.
No day-wise tax/charges trend found.,No se encontró tendencia de impuestos/cargos por día.
No dead stock items.,No hay artículos sin movimiento.
No hourly sales trend found for today.,No se encontró tendencia de ventas por hora para hoy.
No invoices found,No se encontraron facturas
No invoices found. Try different search criteria.,No se encontraron facturas. Prueba otros criterios de búsqueda.
No item profitability data found.,No se encontraron datos de rentabilidad por artículo.
No item sales data found for this period.,No se encontraron datos de ventas por artículo en este periodo.
No items found,No se encontraron artículos
No items in cart,No hay artículos en el carrito
No items with barcodes to print,No hay artículos con códigos de barras para imprimir
No location-wise top item data found.,No se encontraron datos de artículos destacados por ubicación.
No low stock alerts right now.,No hay alertas de stock bajo en este momento.
No low stock items.,No hay artículos con stock bajo.
No month-wise sales trend found.,No se encontró tendencia de ventas por mes.
No negative stock items.,No hay artículos con stock negativo.
No offline cash movement synced.,No se sincronizó ningún movimiento de efectivo fuera de línea.
No offline invoices pending synchronization,No hay facturas fuera de línea pendientes de sincronización
No out-of-stock items.,No hay artículos agotados.
No payment collection data found.,No se encontraron datos de cobranza.
No payment rows available on this invoice.,No hay renglones de pago disponibles en esta factura.
No payments registered for this shift.,No hay pagos registrados para este turno.
No pending balances in this period.,No hay saldos pendientes en este periodo.
No pending offline invoices,No hay facturas fuera de línea pendientes
No profiles found for selected scope. Falling back to current profile failed.,No se encontraron perfiles para el alcance seleccionado. Falló el regreso al perfil actual.
No recent customer activity found.,No se encontró actividad reciente de clientes.
No recent stock entries found.,No se encontraron entradas de stock recientes.
No reorder suggestions right now.,No hay sugerencias de reorden en este momento.
No repeat customers in this period.,No hay clientes recurrentes en este periodo.
No return item trend found.,No se encontró tendencia de artículos devueltos.
No returnable items found for this invoice,No se encontraron artículos retornables para esta factura.
No returns were processed in this shift.,No se procesaron devoluciones en este turno.
No risk activity found.,No se encontró actividad de riesgo.
No sales activity found for this period.,No se encontró actividad de ventas en este periodo.
No slow moving items.,No hay artículos de lento movimiento.
No staff sales activity found.,No se encontró actividad de ventas del personal.
No stock movement for this period.,No hay movimientos de stock en este periodo.
No submitted cash movements in this shift.,No hay movimientos de efectivo enviados en este turno.
No supplier purchases found in this month.,No se encontraron compras a proveedores en este mes.
No suppliers found for this period.,No se encontraron proveedores para este periodo.
No tax head breakdown found.,No se encontró desglose por concepto de impuesto.
No top items found for this location.,No se encontraron artículos destacados para esta ubicación.
No unallocated payments were available for reconciliation.,No había pagos sin asignar disponibles para conciliación.
No unpaid invoices,No hay facturas sin pagar
No valid batches available in {0} for {1}.,No hay lotes válidos disponibles en {0} para {1}.
No variant data found.,No se encontraron datos de variantes.
No week-wise sales trend found.,No se encontró tendencia de ventas por semana.
No.,No.
Nobile Number,Número de teléfono
Offline Invoices,Facturas fuera de línea
Only cancelled POS Cash Movement records can be deleted.,Solo se pueden eliminar los registros de Movimiento de Efectivo POS cancelados.
Only cancelled cash movements can be deleted.,Solo se pueden eliminar los movimientos de efectivo cancelados.
Only submitted cash movements can be cancelled.,Solo se pueden cancelar los movimientos de efectivo enviados.
Only submitted or cancelled cash movements can be duplicated.,Solo se pueden duplicar los movimientos de efectivo enviados o cancelados.
Only the shift owner can create cash movement entries.,Solo el dueño del turno puede crear movimientos de efectivo.
Open this screen from POS Menu -> Open Customer Display.,Abre esta pantalla desde Menú POS -> Abrir pantalla del cliente.
OpenCV Off,OpenCV desactivado
OpenCV On,OpenCV activado
OpenCV image processing enabled - Enhanced barcode detection,Procesamiento de imagen OpenCV habilitado - Detección de códigos de barras mejorada
OpenCV image processing unavailable on this device,Procesamiento de imagen OpenCV no disponible en este dispositivo
OpenCV processing disabled,Procesamiento OpenCV deshabilitado
Out of Stock Items,Artículos agotados
Outstanding,Pendiente
Outstanding Credit by Currency,Crédito pendiente por moneda
Overpayment Change,Cambio por sobrepago
PDF,PDF
POS,POS
POS Awesome,POS Awesome
POS Awesome Payments is not enabled for this POS Profile,POS Awesome Payments no está habilitado para este perfil de POS
POS Awesome credit redemption for Sales Invoice {0},Canje de crédito de POS Awesome para la factura de venta {0}
POS Cash Movement,POS Cash Movement
POS Offer is disable.,La oferta de POS está deshabilitada.
POS Opening Shift is required,Se requiere un turno de apertura de POS
POS Opening Shift is required to compute the overview.,Se requiere un turno de apertura de POS para calcular el resumen.
POS Opening Shift is required.,Se requiere un turno de apertura de POS.
POS Opening Shift must be submitted and open.,El turno de apertura de POS debe estar enviado y abierto.
POS Opening Shift not found.,Turno de apertura de POS no encontrado.
POS Opening Shift {0} is not for the same POS Profile,El turno de apertura de POS {0} no es del mismo perfil de POS
POS Opening Shift {0} is not for the same company,El turno de apertura de POS {0} no es de la misma empresa
POS Profile,POS Profile
POS Profile company must match active POS Opening Shift company.,La empresa del perfil de POS debe coincidir con la empresa del turno de apertura de POS activo.
POS Profile is required,Se requiere un perfil de POS
POS Profile is required to create purchase documents.,Se requiere un perfil de POS para crear documentos de compra.
POS Profile is required.,Se requiere un perfil de POS.
POS Profile must match the active POS Opening Shift profile.,El perfil de POS debe coincidir con el perfil del turno de apertura de POS activo.
POS Profile must match the selected POS Opening Shift profile.,El perfil de POS debe coincidir con el perfil del turno de apertura de POS seleccionado.
POS Profile {0} does not belong to company {1}.,El perfil POS {0} no pertenece a la empresa {1}.
POS Profile {0} does not exist.,El perfil POS {0} no existe.
POS Shift {0} is not open,El turno POS {0} no está abierto
POS lock is not available yet,El bloqueo POS aún no está disponible
POS profile data is missing or invalid.,Los datos del perfil POS faltan o son inválidos.
Paid,Pagado
Paid change cannot be greater than total change!,¡El cambio pagado no puede ser mayor que el cambio total!
Payment Entry {0} has no unallocated amount remaining.,La entrada de pago {0} no tiene monto sin asignar restante.
Payment ID,ID de Pago
Payment Methods,Métodos de Pago
Payment Reconciliation,Conciliación de Pagos
Payment saved offline,Pago guardado sin conexión
Payment {0} is already fully allocated,El pago {0} ya está totalmente asignado
Payments,Pagos
Pending,Pendiente
Pending Exposure,Exposición Pendiente
Pending Invoices,Facturas Pendientes
Pending Ratio,Ratio Pendiente
Please allow camera access to scan codes,Por favor permita acceso a la cámara para escanear códigos
Please make a payment or select an payment,Por favor realice un pago o seleccione un método de pago
Please select Coupon Code Based POS Offer.,Por favor seleccione la oferta POS basada en código de cupón.
Please select a customer,Por favor seleccione un cliente
Please select a customer first,Por favor seleccione primero un cliente
Please select a valid movement type.,Por favor seleccione un tipo de movimiento válido.
Please select an invoice,Por favor seleccione una factura
Please select company before reconciling.,Por favor seleccione la empresa antes de conciliar.
Please select the correct POS Offer with the same company.,Por favor seleccione la oferta POS correcta de la misma empresa.
Position the QR code or barcode within the scanning area,Posicione el código QR o de barras en el área de escaneo
Posting Date,Fecha de Publicación
Pricing & Discounts,Precios y Descuentos
Print Draft,Imprimir Borrador
Processing Payment,Procesando Pago
Profile switching is not available yet,El cambio de perfil aún no está disponible
Profit: Invoice Item Estimate,Ganancia: Estimación de Artículo de Factura
Profit: Stock Ledger (COGS),Ganancia: Libro de Stock (COGS)
Prorated return discount,Descuento prorrateado de devolución
Rate,Tarifa
Ready!,¡Listo!
Reconcile payment methods and close shift,Conciliar métodos de pago y cerrar turno
Reload Items,Recargar Artículos
Remarks are required for cash movement in this POS Profile.,Se requieren notas para movimiento de efectivo en este perfil POS.
Remove,Eliminar
Request,Solicitar
Required columns cannot be hidden,Las columnas requeridas no pueden ocultarse
Retry,Reintentar
Return without Invoice,Devolver sin Factura
Rows,Filas
Sales Person not found,Vendedor no encontrado
Sales Return,Devolución de Ventas
Sales Summary,Resumen de Ventas
Save & Clear,Guardar y Limpiar
Scale barcode detected. Quantity here is the number of labels to print.,Código de barras de escala detectado. La cantidad aquí es el número de etiquetas a imprimir.
Scan QR Code/Barcode,Escanear Código QR/Código de barras
Scan with Camera,Escanear con Cámara
Scope: All Profiles,Alcance: Todos los Perfiles
Scope: Current Profile,Alcance: Perfil Actual
Scope: Specific Profile,Alcance: Perfil Específico
Search,Buscar
Search Mpesa Payments,Buscar Pagos Mpesa
Select,Seleccionar
Select Columns to Display,Seleccionar Columnas a Mostrar
Select Payment,Seleccionar Pago
Select S.O,Seleccionar O.S.
Select Sales Orders,Seleccionar Pedidos de Venta
Open Order,Abrir pedido
Create Invoice,Facturar
Select a customer to use coupon,Seleccione un cliente para usar cupón
Selected POS Opening Shift should be open.,El turno de apertura POS seleccionado debe estar abierto.
Selected expense account is not allowed for this POS Profile.,La cuenta de gastos seleccionada no está permitida para este perfil POS.
Selected movement type is not allowed by POS Profile.,El tipo de movimiento seleccionado no está permitido por el perfil POS.
Selected source account is not allowed for this POS Profile.,La cuenta de origen seleccionada no está permitida para este perfil POS.
Serial Numbers,Números de Serie
Server Health,Estado del Servidor
Server Metrics,Métricas del Servidor
Settings,Configuración
Setup complete!,¡Configuración completa!
Shows the distribution of invoices per currency,Muestra la distribución de facturas por moneda
"Sorry, this coupon code cannot be used by this company","Lo siento, este código de cupón no puede ser usado por esta empresa"
"Sorry, this coupon code cannot be used by this customer","Lo siento, este código de cupón no puede ser usado por este cliente"
"Sorry, this coupon code is no longer valid","Lo siento, este código de cupón ya no es válido"
"Sorry, this coupon code not exists","Lo siento, este código de cupón no existe"
"Sorry, {0} have used this coupon before","Lo siento, {0} ha usado este cupón antes"
Source Cash Account (Optional Override),Cuenta de Efectivo de Origen (Anulación Opcional)
Source account must be a Cash account.,La cuenta de origen debe ser una cuenta de efectivo.
Source account must belong to the selected company.,La cuenta de origen debe pertenecer a la empresa seleccionada.
Source account override is disabled for this POS Profile.,La anulación de cuenta de origen está deshabilitada para este perfil POS.
Source and target accounts are required.,Se requieren cuentas de origen y destino.
Source and target accounts cannot be the same for cash deposit.,Las cuentas de origen y destino no pueden ser iguales para depósito en efectivo.
Staff / Cashier Performance Report,Informe de Rendimiento de Personal/Cajero
Status,Estado
Status must be one of {0},El estado debe ser uno de {0}
Stock Movement Report,Informe de Movimiento de Stock
Submit & Print,Enviar e Imprimir
Supplier Purchase Summary,Resumen de Compra de Proveedor
Supplier name is required.,Se requiere nombre de proveedor.
Suppliers not found,Proveedores no encontrados
Switch Camera,Cambiar Cámara
Switched to: ,Cambiado a: 
System Information,Información del Sistema
Target account must belong to the selected company.,La cuenta de destino debe pertenecer a la empresa seleccionada.
Taxes,Impuestos
Territory not found,Territorio no encontrado
The app stores data locally for offline use. This is called cache.,La aplicación almacéna datos localmente para uso sin conexión. Esto se llama caché.
These invoices will be synced when connection is restored,Estas facturas se sincronizarán cuando se restablezca la conexión
This coupon already used !,¡Este cupón ya ha sido usado!
This invoice {0} cannot be deleted,Esta factura {0} no puede ser eliminada
This is an item template. Please choose a variant.,Esta es una plantilla de artículo. Por favor elija una variante.
Time,Tiempo
Tip: Clear cache regularly to free up space and keep the app fast.,Consejo: Limpie la caché regularmente para liberar espacio y mantener la aplicación rápida.
Tip: Close unused tabs or apps to reduce lag.,Consejo: Cierre pestañas o aplicaciónes no utilizadas para reducir el retraso.
Tip: Monitor slow queries and table size for optimal performance.,Consejo: Monitoree consultas lentas y tamaño de tablas para un rendimiento óptimo.
Top Charge Head,Principal Cabecera de Cargo
Top Discount,Mayor Descuento
Top Pending,Mayor Pendiente
Top Suppliers by Spend,Principales Proveedores por Gasto
Top Tables,Principales Mesas
Top Tax Head,Principal Cabecera de Impuesto
Top Variant,Principal Variante
Total,Total
Total Invoices,Total de Facturas
Total Quantity,Cantidad Total
Total Size,Tamaño Total
UOM,UdM
UOM not found,UdM no encontrada
Unallocated,Sin Asignar
Update Customer,Actualizar Cliente
Updates automatically,Se actualiza automáticamente
Usage,Uso
Usage Stats,Estadísticas de Uso
Use date range to search for older invoices,Use rango de fechas para buscar facturas más antiguas
Using cached customer balance,Usando saldo de cliente en caché
Verify closing amounts for each payment method,Verificar montos de cierre para cada método de pago
Warehouse,Almacén
Week Δ,Semana Δ
Yes,Sí
add,agregar
localStorage,localStorage
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Actualización de stock: {0} tiene {1} disponible. Agregar {2} llevará el stock por debajo de cero.
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} solo tiene {1} en stock. Solicitó {2}. Ajuste la cantidad o reabastezca.
Account Head,Cuenta Principal
Accounts Manager,Gerente de Cuentas
Accounts User,Usuario de Cuentas
Add/Edit Coupon Conditions,Agregar/Editar Condiciones del Cupón
Administrator,Administrador
All Synced,Todo Sincronizado
Allow Create Sales Order,Permitir Crear Pedido de Venta
Allow Credit Sale,Permitir Venta a Crédito
Allow Delete Offline Invoice,Permitir Eliminar Factura Offline
Allow Partial Payment,Permitir Pago Parcial
Allow Price List Rate Change,Permitir Cambio de Tarifa de Lista
Allow Return,Permitir Devolución
Allow Submissions in background job,Permitir Envíos en Trabajo en Segundo Plano
Allow User to Edit Item Discount,Permitir Usuario Editar Descuento de Artículo
Allow user to edit Additional Discount,Permitir Usuario Editar Descuento Adicional
Allow user to edit Rate,Permitir Usuario Editar Tarifa
Always fetch items from server,Siempre Obtener Artículos del Servidor
Amended From,Enmendado De
Apply Customer Discount,Aplicar Descuento de Cliente
Apply For,Aplicar Para
Apply Rule On Brand,Aplicar Regla en Marca
Apply Rule On Item Code,Aplicar Regla en Código de Artículo
Apply Rule On Item Group,Aplicar Regla en Grupo de Artículo
Apply Type,Tipo de Aplicación
Auto Apply,Aplicar Automáticamente
Auto Delete Draft Invoice,Auto Eliminar Factura Borrador
Auto Set Batch,Auto Establecer Lote
Available,Disponible
Balance will be updated when connection is restored,El saldo se actualizará cuando se restaure la conexión
Brand,Marca
CPU Cores,Núcleos de CPU
Calculating,Calculando
Camera access aborted.,Acceso a cámara abortado.
